run ID,associated phenotype,pipeline,Archaea Euryarchaeota,Bacteria Acidobacteria,Bacteria Actinobacteria,Bacteria Bacteroidetes,Bacteria Chloroflexi,Bacteria Cyanobacteria,Bacteria Elusimicrobia,Bacteria Firmicutes,Bacteria Fusobacteria,Bacteria Lentisphaerae,Bacteria Nitrospirae,Bacteria Proteobacteria,Bacteria Spirochaetes,Bacteria Synergistetes,Bacteria Tenericutes,Bacteria Verrucomicrobia
SRR5983443,D003093,4.1,0.0,0.0,417.0,835.0,1.0,1.0,0.0,1952.0,0.0,0.0,0.0,46.0,1.0,0.0,1.0,9.0
SRR5983444,D003424,4.1,0.0,0.0,80.0,4716.0,3.0,2.0,0.0,4190.0,0.0,90.0,0.0,288.0,0.0,1.0,0.0,9.0
SRR5983445,D003093,4.1,0.0,0.0,245.0,1424.0,0.0,3.0,0.0,3059.0,7.0,0.0,0.0,160.0,0.0,0.0,3.0,15.0
SRR5983446,D003093,4.1,0.0,0.0,49.0,8235.0,0.0,0.0,1.0,2203.0,4.0,0.0,0.0,20.0,0.0,0.0,0.0,8.0
SRR5983447,D003093,4.1,0.0,0.0,303.0,3902.0,0.0,4.0,0.0,8595.0,7.0,0.0,0.0,410.0,1.0,0.0,1.0,23.0
SRR5983448,D003093,4.1,0.0,1.0,324.0,2774.0,2.0,0.0,0.0,8000.0,4.0,0.0,0.0,264.0,0.0,0.0,1.0,42.0
SRR5983449,D006262,4.1,0.0,2.0,387.0,11426.0,0.0,13.0,0.0,11106.0,0.0,0.0,0.0,134.0,2.0,0.0,1.0,25.0
SRR5983450,D003424,4.1,0.0,0.0,52.0,6013.0,2.0,151.0,0.0,3169.0,1.0,0.0,0.0,545.0,1.0,1.0,0.0,11.0
SRR5983451,D006262,4.1,0.0,3.0,387.0,1277.0,0.0,0.0,0.0,7329.0,1.0,0.0,0.0,2206.0,0.0,2.0,0.0,390.0
SRR5983452,D003424,4.1,0.0,3.0,331.0,16125.0,12.0,2.0,0.0,10948.0,1137.0,0.0,0.0,2080.0,2.0,0.0,1.0,14.0
SRR5983453,D006262,4.1,0.0,0.0,236.0,12123.0,2.0,4.0,0.0,5297.0,0.0,0.0,0.0,166.0,0.0,0.0,1.0,94.0
SRR5983454,D006262,4.1,0.0,0.0,301.0,9137.0,5.0,5.0,0.0,8308.0,0.0,0.0,0.0,232.0,1.0,0.0,1.0,9.0
SRR5983455,D006262,4.1,0.0,1.0,467.0,3343.0,2.0,3.0,0.0,7309.0,3.0,0.0,1.0,1332.0,0.0,0.0,0.0,525.0
SRR5983456,D006262,4.1,0.0,0.0,358.0,4160.0,1.0,3.0,0.0,9051.0,0.0,0.0,0.0,500.0,1.0,0.0,0.0,719.0
SRR5983457,D003093,4.1,0.0,0.0,505.0,5765.0,2.0,4.0,0.0,7316.0,1.0,0.0,0.0,187.0,0.0,0.0,0.0,10.0
SRR5983458,D003093,4.1,0.0,1.0,175.0,22894.0,2.0,3.0,0.0,8160.0,317.0,0.0,0.0,464.0,7.0,0.0,3.0,382.0
SRR5983459,D003424,4.1,0.0,0.0,13.0,20.0,0.0,0.0,0.0,4173.0,0.0,0.0,0.0,706.0,0.0,1.0,4.0,1.0
SRR5983460,D003424,4.1,0.0,1.0,57.0,6018.0,1.0,0.0,0.0,7832.0,4.0,0.0,0.0,22.0,0.0,0.0,1.0,1.0
SRR5983461,D006262,4.1,0.0,1.0,356.0,8528.0,1.0,9.0,0.0,10851.0,6.0,0.0,0.0,229.0,1.0,0.0,0.0,27.0
SRR5983462,D003424,4.1,0.0,0.0,225.0,5034.0,0.0,7.0,0.0,5900.0,9.0,0.0,0.0,272.0,0.0,0.0,0.0,9.0
SRR5983463,D003424,4.1,0.0,1.0,843.0,7158.0,1.0,15.0,1.0,22781.0,3.0,0.0,0.0,167.0,1.0,13.0,8.0,31.0
SRR5983464,D003424,4.1,0.0,0.0,238.0,3846.0,2.0,4.0,0.0,3472.0,1.0,0.0,0.0,143.0,0.0,0.0,2.0,7.0
SRR5983465,D003093,4.1,0.0,0.0,33.0,81.0,0.0,0.0,0.0,430.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,3.0
